"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Biddinghuizen";"WP2429    ";"Dronten                            ";"GM0303    "
"Bierum";"WP3232    ";"Delfzijl                           ";"GM0010    "
"Biervliet";"WP1129    ";"Terneuzen                          ";"GM0715    "
"Biervliet";"WP2975    ";"Sluis                              ";"GM1714    "
"Biest-Houtakker";"WP1309    ";"Hilvarenbeek                       ";"GM0798    "
"Biezenmortel";"WP1425    ";"Haaren                             ";"GM0788    "
"Biggekerke";"WP2775    ";"Veere                              ";"GM0717    "
"De Bilt";"WP2934    ";"De Bilt                            ";"GM0310    "
"Bilthoven";"WP2935    ";"De Bilt                            ";"GM0310    "
"Bingelrade";"WP2845    ";"Onderbanken                        ";"GM0881    "
"Bitgum";"WP2722    ";"Waadhoeke                          ";"GM1949    "
"Bitgummole";"WP2723    ";"Waadhoeke                          ";"GM1949    "
"Bladel";"WP1064    ";"Bladel                             ";"GM1728    "
"Blankenham";"WP2695    ";"Steenwijkerland                    ";"GM1708    "
"Blaricum";"WP2828    ";"Blaricum                           ";"GM0376    "
"Blauwestad";"WP3509    ";"Oldambt                            ";"GM1895    "
"Blauwhuis";"WP2401    ";"Súdwest-Fryslân                    ";"GM1900    "
"Bleiswijk";"WP1689    ";"Lansingerland                      ";"GM1621    "
"Blesdijke";"WP1720    ";"Weststellingwerf                   ";"GM0098    "
"Bleskensgraaf ca";"WP1980    ";"Molenwaard                         ";"GM1927    "
"De Blesse";"WP1722    ";"Weststellingwerf                   ";"GM0098    "
"Blessum";"WP2725    ";"Waadhoeke                          ";"GM1949    "
"Blije";"WP3199    ";"Ferwerderadiel                     ";"GM1722    "
"Blijham";"WP2232    ";"Westerwolde                        ";"GM1950    "
"Blitterswijck";"WP1856    ";"Venray                             ";"GM0984    "
"Bloemendaal";"WP2654    ";"Bloemendaal                        ";"GM0377    "
"Blokker";"WP3613    ";"Hoorn                              ";"GM0405    "
"Blokzijl";"WP2696    ";"Steenwijkerland                    ";"GM1708    "
"Boazum";"WP2011    ";"Súdwest-Fryslân                    ";"GM1900    "
"Bocholtz";"WP3066    ";"Simpelveld                         ";"GM0965    "
"Bodegraven";"WP2665    ";"Bodegraven-Reeuwijk                ";"GM1901    "
"Boekel";"WP3138    ";"Boekel                             ";"GM0755    "
"Boelenslaan";"WP3174    ";"Achtkarspelen                      ";"GM0059    "
"Boer";"WP1371    ";"Waadhoeke                          ";"GM1949    "
"Ten Boer";"WP1829    ";"Ten Boer                           ";"GM0009    "
"Boerakker";"WP2259    ";"Marum                              ";"GM0025    "
"Boerakker";"WP2339    ";"Leek                               ";"GM0022    "
"Boesingheliede";"WP1615    ";"Haarlemmermeer                     ";"GM0394    "
"Boijl";"WP1721    ";"Weststellingwerf                   ";"GM0098    "
"Boksum";"WP2726    ";"Waadhoeke                          ";"GM1949    "
"Bolsward";"WP2079    ";"Súdwest-Fryslân                    ";"GM1900    "
"Den Bommel";"WP2132    ";"Goeree-Overflakkee                 ";"GM1924    "
"Bontebok";"WP2193    ";"Heerenveen                         ";"GM0074    "
"Boornbergum";"WP3275    ";"Smallingerland                     ";"GM0090    "
"Boornzwaag";"WP2485    ";"De Fryske Marren                   ";"GM1940    "
"Borculo";"WP1659    ";"Berkelland                         ";"GM1859    "
"Borger";"WP1782    ";"Borger-Odoorn                      ";"GM1681    "
"Borgercompagnie";"WP2275    ";"Midden-Groningen                   ";"GM1952    "
"Borgercompagnie";"WP1242    ";"Veendam                            ";"GM0047    "
"Borgsweer";"WP3233    ";"Delfzijl                           ";"GM0010    "
"Born";"WP2808    ";"Sittard-Geleen                     ";"GM1883    "
"Borne";"WP3511    ";"Borne                              ";"GM0147    "
"Bornerbroek";"WP1926    ";"Almelo                             ";"GM0141    "
"Bornwird";"WP3389    ";"Dongeradeel                        ";"GM0058    "
"Borssele";"WP1252    ";"Borsele                            ";"GM0654    "
"Bosch en Duin";"WP2823    ";"Zeist                              ";"GM0355    "
"Boschoord";"WP3105    ";"Westerveld                         ";"GM1701    "
"Boskoop";"WP2998    ";"Alphen aan den Rijn                ";"GM0484    "
"Bosschenhoofd";"WP1249    ";"Halderberge                        ";"GM1655    "
"Botlek Rotterdam";"WP3080    ";"Rotterdam                          ";"GM0599    "
"Bourtange";"WP2294    ";"Westerwolde                        ";"GM1950    "
"Bovenkarspel";"WP1102    ";"Stede Broec                        ";"GM0532    "
"Boven-Leeuwen";"WP1770    ";"West Maas en Waal                  ";"GM0668    "
"Bovensmilde";"WP3007    ";"Midden-Drenthe                     ";"GM1731    "
"Boxmeer";"WP1215    ";"Boxmeer                            ";"GM0756    "
"Boxtel";"WP2439    ";"Boxtel                             ";"GM0757    "
"Braamt";"WP2204    ";"Montferland                        ";"GM1955    "
"Brakel";"WP2628    ";"Zaltbommel                         ";"GM0297    "
"Brandwijk";"WP1981    ";"Molenwaard                         ";"GM1927    "
"Brantgum";"WP3390    ";"Dongeradeel                        ";"GM0058    "
"Breda";"WP3622    ";"Breda                              ";"GM0758    "
"Bredevoort";"WP1194    ";"Aalten                             ";"GM0197    "
"Breedenbroek";"WP1587    ";"Oude IJsselstreek                  ";"GM1509    "
"Breezand";"WP3186    ";"Hollands Kroon                     ";"GM1911    "
"Breezanddijk";"WP2303    ";"Súdwest-Fryslân                    ";"GM1900    "
"Breskens";"WP2965    ";"Sluis                              ";"GM1714    "
"Breukelen";"WP1392    ";"Stichtse Vecht                     ";"GM1904    "
"Breukeleveen";"WP3004    ";"Wijdemeren                         ";"GM1696    "
"Brielle";"WP2368    ";"Brielle                            ";"GM0501    "
"Briltil";"WP2115    ";"Zuidhorn                           ";"GM0056    "
"Britsum";"WP3225    ";"Leeuwarden                         ";"GM0080    "
"Britswert";"WP2012    ";"Súdwest-Fryslân                    ";"GM1900    "
"Broek";"WP2486    ";"De Fryske Marren                   ";"GM1940    "
"Broek in Waterland";"WP1940    ";"Waterland                          ";"GM0852    "
"Broek op Langedijk";"WP1116    ";"Langedijk                          ";"GM0416    "
"Broekhuizen";"WP1027    ";"Horst aan de Maas                  ";"GM1507    "
"Broekhuizen";"WP1086    ";"Meppel                             ";"GM0119    "
"Broekhuizenvorst";"WP1028    ";"Horst aan de Maas                  ";"GM1507    "
"Broekland";"WP1497    ";"Raalte                             ";"GM0177    "
"Broeksterwâld";"WP3265    ";"Dantumadiel                        ";"GM1891    "
"Bronkhorst";"WP1530    ";"Bronckhorst                        ";"GM1876    "
"Bronneger";"WP1783    ";"Borger-Odoorn                      ";"GM1681    "
"Bronnegerveen";"WP1784    ";"Borger-Odoorn                      ";"GM1681    "
"Brouwershaven";"WP2674    ";"Schouwen-Duiveland                 ";"GM1676    "
"Bruchem";"WP2629    ";"Zaltbommel                         ";"GM0297    "
"Brucht";"WP1542    ";"Hardenberg                         ";"GM0160    "
"Bruchterveld";"WP3609    ";"Hardenberg                         ";"GM0160    "
"Bruinehaar";"WP3320    ";"Twenterand                         ";"GM1700    "
"Bruinisse";"WP2675    ";"Schouwen-Duiveland                 ";"GM1676    "
"Brummen";"WP1111    ";"Brummen                            ";"GM0213    "
"Brunssum";"WP2849    ";"Brunssum                           ";"GM0899    "
"Bruntinge";"WP3008    ";"Midden-Drenthe                     ";"GM1731    "
"Buchten";"WP2809    ";"Sittard-Geleen                     ";"GM1883    "
"Budel";"WP1571    ";"Cranendonck                        ";"GM1706    "
"Budel-Dorplein";"WP1573    ";"Cranendonck                        ";"GM1706    "
"Budel-Schoot";"WP1572    ";"Cranendonck                        ";"GM1706    "
"Buggenum";"WP2941    ";"Leudal                             ";"GM1640    "
"Buinen";"WP1785    ";"Borger-Odoorn                      ";"GM1681    "
"Buinerveen";"WP1786    ";"Borger-Odoorn                      ";"GM1681    "
"Buitenkaag";"WP1607    ";"Haarlemmermeer                     ";"GM0394    "
"Buitenpost";"WP3175    ";"Achtkarspelen                      ";"GM0059    "
"De Bult";"WP2697    ";"Steenwijkerland                    ";"GM1708    "
"Bunde";"WP1461    ";"Meerssen                           ";"GM0938    "
"Bunne";"WP2914    ";"Tynaarlo                           ";"GM1730    "
"Bunnik";"WP2603    ";"Bunnik                             ";"GM0312    "
"Bunschoten-Spakenburg";"WP2237    ";"Bunschoten                         ";"GM0313    "
"Burdaard";"WP3200    ";"Ferwerderadiel                     ";"GM1722    "
"Buren";"WP2589    ";"Ameland                            ";"GM0060    "
"Buren";"WP3372    ";"Buren                              ";"GM0214    "
"Den Burg";"WP2740    ";"Texel                              ";"GM0448    "
"Burgerbrug";"WP2762    ";"Schagen                            ";"GM0441    "
"Burgerveen";"WP1603    ";"Haarlemmermeer                     ";"GM0394    "
"Burgh-Haamstede";"WP2676    ";"Schouwen-Duiveland                 ";"GM1676    "
"Burgum";"WP2451    ";"Tytsjerksteradiel                  ";"GM0737    "
"Burgwerd";"WP2304    ";"Súdwest-Fryslân                    ";"GM1900    "
"Burum";"WP3308    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Bussum";"WP1331    ";"Gooise Meren                       ";"GM1942    "
"Buurmalsen";"WP3373    ";"Buren                              ";"GM0214    "
"Buurmalsen";"WP3532    ";"Geldermalsen                       ";"GM0236    "
"Cadier en Keer";"WP1692    ";"Eijsden-Margraten                  ";"GM1903    "
"Cadzand";"WP2964    ";"Sluis                              ";"GM1714    "
"Callantsoog";"WP2757    ";"Schagen                            ";"GM0441    "
"Capelle aan den IJssel";"WP1105    ";"Capelle aan den IJssel             ";"GM0502    "
"Castelre";"WP2885    ";"Baarle-Nassau                      ";"GM0744    "
"Castenray";"WP2328    ";"Venray                             ";"GM0984    "
"Casteren";"WP1067    ";"Bladel                             ";"GM1728    "
"Castricum";"WP2268    ";"Castricum                          ";"GM0383    "
"Chaam";"WP3433    ";"Alphen-Chaam                       ";"GM1723    "
"Clinge";"WP3092    ";"Hulst                              ";"GM0677    "
"De Cocksdorp";"WP2737    ";"Texel                              ";"GM0448    "
"Coevorden";"WP2147    ";"Coevorden                          ";"GM0109    "
"Colijnsplaat";"WP3190    ";"Noord-Beveland                     ";"GM1695    "
"Collendoorn";"WP1544    ";"Hardenberg                         ";"GM0160    "
"Colmschate";"WP2855    ";"Deventer                           ";"GM0150    "
"Cornwerd";"WP2305    ";"Súdwest-Fryslân                    ";"GM1900    "
"Cothen";"WP1304    ";"Wijk bij Duurstede                 ";"GM0352    "
"Creil";"WP1281    ";"Noordoostpolder                    ";"GM0171    "
"Cromvoirt";"WP1620    ";"Vught                              ";"GM0865    "
"Cruquius";"WP1612    ";"Haarlemmermeer                     ";"GM0394    "
"Cuijk";"WP1450    ";"Cuijk                              ";"GM1684    "
"Culemborg";"WP2052    ";"Culemborg                          ";"GM0216    "
"Daarle";"WP1038    ";"Hellendoorn                        ";"GM0163    "
"Daarlerveen";"WP1039    ";"Hellendoorn                        ";"GM0163    "
"Dalem";"WP2300    ";"Gorinchem                          ";"GM0512    "
"Dalen";"WP2148    ";"Coevorden                          ";"GM0109    "
"Dalerpeel";"WP2149    ";"Coevorden                          ";"GM0109    "
"Dalerveen";"WP2150    ";"Coevorden                          ";"GM0109    "
"Dalfsen";"WP1237    ";"Dalfsen                            ";"GM0148    "
"Dalmsholte";"WP2550    ";"Ommen                              ";"GM0175    "
"Damwâld";"WP3266    ";"Dantumadiel                        ";"GM1891    "
"Darp";"WP3106    ";"Westerveld                         ";"GM1701    "
"Dearsum";"WP2526    ";"Súdwest-Fryslân                    ";"GM1900    "
"Dedemsvaart";"WP1546    ";"Hardenberg                         ";"GM0160    "
"Dedgum";"WP2306    ";"Súdwest-Fryslân                    ";"GM1900    "
"Deelen";"WP2773    ";"Ede                                ";"GM0228    "
"Deest";"WP2903    ";"Druten                             ";"GM0225    "
"Deil";"WP3217    ";"Geldermalsen                       ";"GM0236    "
"Deinum";"WP2727    ";"Waadhoeke                          ";"GM1949    "
"Delden";"WP1440    ";"Hof van Twente                     ";"GM1735    "
"Delfgauw";"WP1143    ";"Pijnacker-Nootdorp                 ";"GM1926    "
"Delfstrahuizen";"WP2240    ";"De Fryske Marren                   ";"GM1940    "
"Delft";"WP2138    ";"Delft                              ";"GM0503    "
"Delfzijl";"WP3234    ";"Delfzijl                           ";"GM0010    "
"Delwijnen";"WP2630    ";"Zaltbommel                         ";"GM0297    "
"Demen";"WP3260    ";"Oss                                ";"GM0828    "
"Denekamp";"WP1408    ";"Dinkelland                         ";"GM1774    "
"Deurne";"WP1774    ";"Deurne                             ";"GM0762    "
"Deurningen";"WP1669    ";"Oldenzaal                          ";"GM0173    "
"Deurningen";"WP1409    ";"Dinkelland                         ";"GM1774    "
"Deursen-Dennenburg";"WP3256    ";"Oss                                ";"GM0828    "
"Deurze";"WP1154    ";"Aa en Hunze                        ";"GM1680    "
"Deventer";"WP2856    ";"Deventer                           ";"GM0150    "
"Didam";"WP2205    ";"Montferland                        ";"GM1955    "
"Dieden";"WP3259    ";"Oss                                ";"GM0828    "
"Diemen";"WP2144    ";"Diemen                             ";"GM0384    "
"Diepenheim";"WP1441    ";"Hof van Twente                     ";"GM1735    "
